timestamp,email,status
2025-07-10T15:48:53.374667,hr@airtel.in,Sent
2025-07-10T15:48:53.898118,careers@airtel.in,Sent
2025-07-10T15:48:54.464044,hr@airindia.in,Sent
2025-07-10T15:48:54.865785,recruitment@airindia.in,Sent
2025-07-10T15:48:55.213272,hr@asianpaints.com,Sent
2025-07-10T15:48:55.775229,jobs@asianpaints.com,Sent
2025-07-10T15:48:56.152287,hr@apollohospitals.com,Sent
2025-07-10T15:48:56.603477,careers@apollohospitals.com,Sent
2025-07-10T15:48:56.964283,hr@ashokleyland.com,Sent
2025-07-10T15:48:57.391582,jobs@ashokleyland.com,Sent
2025-07-10T15:48:57.809474,hr@bajajauto.co.in,Sent
2025-07-10T15:48:58.197600,careers@bajajauto.co.in,Sent
2025-07-10T15:48:58.815798,hr@bankofbaroda.com,Sent
2025-07-10T15:48:59.126294,careers@bankofbaroda.com,Sent
2025-07-10T15:48:59.405506,hr@bankofindia.co.in,Sent
2025-07-10T15:48:59.689061,careers@bankofindia.co.in,Sent
2025-07-10T15:48:59.972258,hr@bhel.in,Sent
2025-07-10T15:49:00.626335,careers@bhel.in,Sent
2025-07-10T15:49:00.894108,hr@bharti.in,Sent
2025-07-10T15:49:01.265437,careers@bharti.in,Sent
2025-07-10T15:49:01.640480,hr@bpcl.co.in,Sent
2025-07-10T15:49:02.034986,careers@bpcl.co.in,Sent
2025-07-10T15:49:02.356875,hr@cairnindia.com,Sent
2025-07-10T15:49:02.676508,careers@cairnindia.com,Sent
2025-07-10T15:49:03.060119,hr@cognizant.com,Sent
2025-07-10T15:49:03.455349,jobs@cognizant.com,Sent
2025-07-10T15:49:03.796219,hr@dlf.in,Sent
2025-07-10T15:49:04.392916,careers@dlf.in,Sent
2025-07-10T15:49:04.730356,hr@essar.com,Sent
2025-07-10T15:49:05.047572,careers@essar.com,Sent
2025-07-10T15:49:05.426881,hr@essarsteel.com,Sent
2025-07-10T15:49:05.776971,careers@essarsteel.com,Sent
2025-07-10T15:49:06.063646,hr@futuregroup.in,Sent
2025-07-10T15:49:06.383915,careers@futuregroup.in,Sent
2025-07-10T15:49:06.699185,hr@gail.co.in,Sent
2025-07-10T15:49:07.043693,careers@gail.co.in,Sent
2025-07-10T15:49:07.333217,hr@godrej.com,Sent
2025-07-10T15:49:07.790917,careers@godrej.com,Sent
2025-07-10T15:49:08.129471,hr@hcl.com,Sent
2025-07-10T15:49:08.493312,jobs@hcl.com,Sent
2025-07-10T15:49:08.914625,hr@hdfcbank.com,Sent
2025-07-10T15:49:09.220995,careers@hdfcbank.com,Sent
2025-07-10T15:49:09.544665,hr@hindalco.com,Sent
